match_id,innings,over,ball_in_over,bowler,optimization_score
335982,1,5,6,Z Khan,-3.708333333333333
335982,1,8,6,JH Kallis,0.25
335982,1,12,6,JH Kallis,-3.323529411764706
335982,1,15,6,AA Noffke,-0.611111111111111
335982,2,5,6,AB Dinda,-4.694444444444445
335982,2,8,6,AB Agarkar,-5.25
335982,2,12,6,LR Shukla,-0.7000000000000001
335983,1,5,6,JR Hopes,-1.2499999999999998
335983,1,8,6,IK Pathan,-3.541666666666667
335983,1,12,6,WA Mota,-2.25
335983,1,15,6,IK Pathan,-5.861111111111112
335983,2,5,6,MS Gony,-3.1176470588235294
335983,2,8,6,Joginder Sharma,-1.7999999999999998
335983,2,12,6,P Amarnath,-3.666666666666667
335983,2,15,6,P Amarnath,-3.541666666666667
335984,1,5,6,MF Maharoof,0.33333333333333326
335984,1,8,6,R Bhatia,-2.208333333333333
335984,1,12,6,R Bhatia,-7.41304347826087
335984,1,15,6,B Geeves,-3.833333333333333
335984,2,5,6,SK Trivedi,-0.7000000000000001
335984,2,8,6,SK Warne,-0.5833333333333334
335984,2,12,6,D Salunkhe,0.0
335985,1,5,6,Z Khan,-7.416666666666667
335985,1,8,6,JH Kallis,-2.125
335985,1,12,6,SB Joshi,-0.16666666666666657
335985,1,15,6,JH Kallis,-1.7647058823529411
335985,2,5,6,SM Pollock,0.25
335985,2,8,6,Harbhajan Singh,-4.1
335985,2,12,6,AM Nayar,-1.3333333333333333
335985,2,15,6,SM Pollock,0.02083333333333337
335986,1,5,6,AB Agarkar,-2.0
335986,1,8,6,M Kartik,-5.041666666666667
335986,1,12,6,DJ Hussey,0.25
335986,1,15,6,I Sharma,-2.1176470588235294
335986,2,5,6,SB Styris,0.25
335986,2,8,6,SB Bangar,0.40909090909090917
335986,2,12,6,PP Ojha,0.375
335986,2,15,6,RP Singh,-2.7222222222222223
335987,1,5,6,SK Trivedi,-2.166666666666667
335987,1,8,6,SK Warne,-4.791666666666666
335987,1,12,6,SK Trivedi,-0.9583333333333335
335987,1,15,6,YK Pathan,-1.2499999999999998
335987,2,5,6,B Lee,-3.194444444444444
335987,2,8,6,JR Hopes,-3.194444444444444
335987,2,12,6,WA Mota,-0.6666666666666666
335987,2,15,6,B Lee,-3.354166666666667
335988,1,5,6,Mohammad Asif,-4.861111111111112
335988,1,8,6,VY Mahesh,-0.5833333333333334
335988,1,12,6,R Bhatia,-2.166666666666667
335988,1,15,6,Mohammad Asif,-5.020833333333333
335988,2,5,6,RP Singh,-3.3529411764705883
335988,2,8,6,SB Bangar,-1.5
335988,2,12,6,A Symonds,-2.4583333333333335
335989,1,5,6,A Nehra,-3.375
335989,1,8,6,DJ Bravo,-0.4999999999999999
335989,1,12,6,SM Pollock,-1.2777777777777777
335989,1,15,6,DJ Bravo,-1.4705882352941178
335989,2,5,6,MS Gony,-2.3611111111111116
335989,2,8,6,P Amarnath,-0.5833333333333334
335989,2,12,6,M Muralitharan,-0.27272727272727276
335989,2,15,6,M Muralitharan,-3.1388888888888893
335990,1,5,6,SR Watson,-0.7647058823529411
335990,1,8,6,SK Warne,-2.416666666666667
335990,1,12,6,YK Pathan,-5.875
335990,1,15,6,SK Warne,-3.4444444444444446
335990,2,5,6,PP Ojha,-2.166666666666667
335990,2,8,6,Shahid Afridi,-1.3333333333333333
335990,2,12,6,A Symonds,-0.6666666666666666
335990,2,15,6,D Kalyankrishna,-3.3888888888888893
335991,1,5,6,DS Kulkarni,-1.6
335991,1,8,6,Harbhajan Singh,-2.75
335991,1,12,6,MA Khote,0.08333333333333331
335991,1,15,6,DJ Bravo,-0.5833333333333334
335991,2,5,6,S Sreesanth,0.16666666666666663
335991,2,8,6,PP Chawla,-2.9166666666666665
335991,2,12,6,PP Chawla,-5.0625
335991,2,15,6,S Sreesanth,-3.0277777777777777
335992,1,5,6,MM Patel,-2.0833333333333335
335992,1,8,6,SK Trivedi,-2.6666666666666665
335992,1,12,6,YK Pathan,-0.6666666666666666
335992,1,15,6,SK Warne,-5.138888888888889
335992,2,5,6,Z Khan,-3.2222222222222223
335992,2,8,6,JH Kallis,-0.5833333333333334
335992,2,12,6,SB Joshi,-0.4999999999999999
335992,2,15,6,SB Joshi,-3.25
335993,1,5,6,MS Gony,-3.7777777777777777
335993,1,8,6,M Muralitharan,0.36363636363636376
335993,1,12,6,JDP Oram,-5.527777777777779
335993,1,15,6,M Muralitharan,0.30434782608695654
335993,2,5,6,AB Agarkar,-1.2499999999999998
335993,2,8,6,AB Agarkar,-3.375
335993,2,12,6,LR Shukla,0.25
335993,2,15,6,I Sharma,-0.23529411764705882
335994,1,5,6,Shahid Afridi,-3.0
335994,1,8,6,SB Bangar,-2.25
335994,1,12,6,D Kalyankrishna,-0.6666666666666666
335994,1,15,6,Shahid Afridi,-5.222222222222221
335994,2,5,6,SD Chitnis,-1.6
335994,2,8,6,ST Jayasuriya,-0.5833333333333334
335995,1,5,6,VRV Singh,-2.9166666666666665
335995,1,8,6,PP Chawla,-0.08333333333333331
335995,1,12,6,PP Chawla,-0.4999999999999999
335995,1,15,6,S Sreesanth,-1.4166666666666665
335995,2,5,6,MF Maharoof,-1.4166666666666665
335995,2,8,6,Mohammad Asif,-3.5
335995,2,12,6,MF Maharoof,-1.0555555555555556
335995,2,15,6,GD McGrath,-3.1875
335996,1,5,6,Z Khan,-3.5
335996,1,8,6,B Akhil,-0.6666666666666666
335996,1,12,6,B Akhil,-0.3055555555555556
335996,1,15,6,B Akhil,-0.5624999999999999
335996,2,5,6,MS Gony,-3.2777777777777777
335996,2,8,6,JA Morkel,-0.7272727272727273
335996,2,12,6,P Amarnath,-3.4166666666666665
335996,2,15,6,P Amarnath,-5.833333333333333
335997,1,5,6,DJ Bravo,-2.166666666666667
335997,1,8,6,CRD Fernando,-0.9166666666666666
335997,1,12,6,SM Pollock,-5.520833333333333
335997,1,15,6,ST Jayasuriya,-9.891304347826086
335997,2,5,6,I Sharma,-3.6944444444444446
335997,2,8,6,Mohammad Hafeez,-1.7999999999999998
335997,2,12,6,SC Ganguly,-0.3333333333333333
335997,2,15,6,LR Shukla,-1.4166666666666665
335998,1,5,6,P Kumar,-0.41666666666666663
335998,1,8,6,JH Kallis,0.25
335998,1,12,6,Z Khan,-1.5833333333333333
335998,1,15,6,P Kumar,-0.3055555555555556
335998,2,5,6,VY Mahesh,-0.5833333333333334
335998,2,8,6,DL Vettori,-0.16666666666666657
335998,2,12,6,Mohammad Asif,-1.0555555555555556
335998,2,15,6,GD McGrath,-10.541666666666666
335999,1,5,6,VRV Singh,-1.3333333333333333
335999,1,8,6,PP Chawla,-5.208333333333333
335999,1,12,6,PP Chawla,-7.555555555555555
335999,1,15,6,Gagandeep Singh,-2.9722222222222223
335999,2,5,6,SB Bangar,-2.25
335999,2,8,6,SB Bangar,-3.0833333333333335
335999,2,12,6,Shahid Afridi,-0.9166666666666667
335999,2,15,6,RP Singh,-0.8823529411764706
336000,1,5,6,Umar Gul,0.25
336000,1,8,6,AB Agarkar,-3.833333333333333
336000,1,12,6,AB Dinda,-0.7391304347826086
336000,1,15,6,Umar Gul,-5.3235294117647065
336000,2,5,6,SK Trivedi,-0.7000000000000001
336000,2,8,6,MM Patel,0.25
336000,2,12,6,YK Pathan,0.08333333333333331
336000,2,15,6,MM Patel,-0.22916666666666657
336001,1,5,6,VY Mahesh,-4.166666666666667
336001,1,8,6,V Sehwag,-2.9166666666666665
336001,1,12,6,GD McGrath,-5.551115123125783e-17
336001,1,15,6,VY Mahesh,-3.166666666666667
336001,2,5,6,JA Morkel,-1.2499999999999998
336001,2,8,6,JA Morkel,-0.9583333333333335
336001,2,12,6,M Muralitharan,-0.08333333333333331
336001,2,15,6,M Ntini,-0.5416666666666666
336002,1,5,6,DW Steyn,-0.2777777777777778
336002,1,8,6,B Akhil,-1.3333333333333333
336002,1,12,6,R Vinay Kumar,-3.291666666666667
336002,1,15,6,B Akhil,-1.6111111111111112
336002,2,5,6,DP Vijaykumar,-0.4999999999999999
336002,2,8,6,SB Bangar,-2.5
336002,2,12,6,WPUJC Vaas,-3.2777777777777777
336002,2,15,6,SB Bangar,-5.729166666666667
336003,1,5,6,AB Dinda,-3.3636363636363633
336003,1,8,6,Mohammad Hafeez,-3.833333333333333
336003,1,12,6,Umar Gul,-2.083333333333333
336003,1,15,6,DJ Hussey,-5.527777777777779
336003,2,5,6,IK Pathan,-4.882352941176471
336003,2,8,6,Gagandeep Singh,0.25
336003,2,12,6,Gagandeep Singh,-0.611111111111111
336003,2,15,6,JR Hopes,-0.20833333333333331
336004,1,5,6,VY Mahesh,-7.083333333333334
336004,1,8,6,PJ Sangwan,0.2272727272727273
336004,1,12,6,PJ Sangwan,-2.4791666666666665
336004,1,15,6,Shoaib Malik,-3.0
336004,2,5,6,DJ Bravo,-0.5833333333333334
336004,2,8,6,DS Kulkarni,-3.0833333333333335
336004,2,12,6,DJ Thornely,-3.125
336004,2,15,6,RR Raje,-0.24999999999999994
336005,1,5,6,SR Watson,-3.25
336005,1,8,6,MM Patel,-5.551115123125783e-17
336005,1,12,6,YK Pathan,-0.12499999999999994
336005,1,15,6,SR Watson,-2.9166666666666665
336005,2,5,6,MS Gony,-1.0277777777777777
336005,2,8,6,SK Raina,-0.6666666666666666
336005,2,12,6,S Vidyut,-3.416666666666667
336006,1,5,6,Gagandeep Singh,-0.4999999999999999
336006,1,8,6,VRV Singh,-0.12499999999999994
336006,1,12,6,IK Pathan,-5.166666666666667
