match_id,innings,over,ball_in_over,b14_actual_runs,b14_predicted_runs
335983,1,15,1,6,5.955570283907285
335983,1,15,2,0,3.032967172278069
335983,1,15,3,0,1.316000114390723
335983,1,15,4,0,1.2709199426758684
335983,1,15,5,1,1.1653868543615928
335983,1,15,6,1,1.2022242741582403
335983,1,16,1,1,1.3447880833652648
335983,1,16,2,1,1.3403620319007925
335983,1,16,3,6,1.8549190832241085
335983,1,16,4,4,1.5025607671130192
335983,1,16,5,1,1.5376237996435018
335983,1,16,6,1,1.7717394854512265
335983,1,17,1,0,1.6115052394715292
335983,1,17,2,4,1.9806983031309502
335983,1,17,3,1,1.9289533157617307
335983,1,17,4,2,1.7893250265860074
335983,1,17,5,6,1.926907211582662
335983,1,17,6,4,2.2074030800660633
335983,1,18,1,4,2.1708095204104776
335983,1,18,2,1,2.627472950351088
335983,1,18,3,1,2.4171913141820887
335983,1,18,4,1,2.632525579905819
335983,1,18,5,6,2.1711827683008065
335983,1,18,6,2,2.472497080919507
335983,1,19,1,6,2.808449481317871
335983,1,19,2,6,3.3848612063616907
335983,1,19,3,4,3.276170265511268
335983,1,19,4,1,3.0952189363844336
335983,1,19,5,6,2.309851411497255
335983,1,19,6,2,3.7307217792954424
335983,2,15,1,2,2.003087388375163
335983,2,15,2,0,1.4648385385218987
335983,2,15,3,4,2.2215805140366163
335983,2,15,4,1,2.04315242334354
335983,2,15,5,1,1.8394737535025207
335983,2,15,6,2,1.8959607150794853
335983,2,16,1,0,1.680474319418438
335983,2,16,2,1,1.6429931146659222
335983,2,16,3,1,1.6055138308252017
335983,2,16,4,4,1.8941278502417735
335983,2,16,5,1,1.6988517617996262
335983,2,16,6,2,1.8002951192740448
335983,2,17,1,1,1.9035120221234423
335983,2,17,2,1,1.689405050335162
335983,2,17,3,2,1.7091337592042555
335983,2,17,4,0,1.5700687730087353
335983,2,17,5,0,1.584596564315665
335983,2,17,6,0,1.448670200177199
335983,2,18,1,1,1.5385144077782895
335983,2,18,2,1,1.4799504550288123
335983,2,18,3,1,1.4365531309938913
335983,2,18,4,1,1.4415557414183522
335983,2,18,5,2,1.5004776403180629
335983,2,18,6,1,1.457854713917508
335983,2,19,1,1,1.584769767683401
335983,2,19,2,1,1.5170621563421574
335983,2,19,3,0,1.4650832508615266
335983,2,19,4,6,1.9028084178715168
335983,2,19,5,1,1.8930221035185322
335983,2,19,6,0,1.6307959108376473
335990,1,15,1,1,0.9023788948242248
335990,1,15,2,4,2.485842962026731
335990,1,15,3,1,2.088270541193096
335990,1,15,4,4,2.512863953825723
335990,1,15,5,1,2.1612178426178725
335990,1,15,6,1,1.9808218241956657
335990,1,16,1,1,2.0879144162070618
335990,1,16,2,4,2.1235555427654225
335990,1,16,3,4,2.299113281574685
335990,1,16,4,2,2.2858121173120347
335990,1,16,5,0,2.0619082851233235
335990,1,16,6,0,1.9918150715854013
335990,1,17,1,6,2.1988716771461108
335990,1,17,2,1,2.1749122794703
335990,1,17,3,1,2.195206048301836
335990,1,17,4,6,2.9094514735620143
335990,1,17,5,1,2.546819797852345
335990,1,17,6,0,2.097262769684635
335990,1,18,1,4,2.0738059313110884
335990,1,18,2,1,2.5763155294470237
335990,1,18,3,4,2.1757118026863465
335990,1,18,4,0,2.381032139357391
335990,1,18,5,0,2.249642883685787
335990,1,18,6,1,2.131310187401314
335990,1,18,7,1,2.105838149932118
335990,1,18,8,4,1.7375049414585626
335990,1,19,1,0,2.430842359357401
335990,1,19,2,0,2.4449627287238074
335990,1,19,3,4,2.1910821916068564
335990,1,19,4,4,2.560226457950755
335990,1,19,5,0,2.7868580043054916
335990,1,19,6,2,2.486604997568445
335990,1,19,7,0,2.227201405838101
335990,2,15,1,1,0.9023788948242248
335990,2,15,2,1,0.9080403974227
335990,2,15,3,6,3.124222103691358
335990,2,15,4,4,2.898783543592062
335990,2,15,5,1,2.5564650679010956
335990,2,15,6,4,2.666602186569839
335990,2,16,1,4,2.6598210189001685
335990,2,16,2,1,2.69157976375065
335990,2,16,3,1,2.8172359322004783
335990,2,16,4,1,2.5189832434295814
335990,2,16,5,1,2.1562870534048537
335990,2,16,6,2,2.2411890829908097
335990,2,17,1,0,1.962620180712839
335990,2,17,2,0,1.9566855268519343
335990,2,17,3,0,1.6556696741925185
335990,2,17,4,1,1.4065350154962921
335990,2,17,5,0,1.4151870079198947
335990,2,17,6,0,1.4893956121022727
335990,2,17,7,4,1.516418685834725
335990,2,18,1,0,2.3402318810021288
335990,2,18,2,1,1.470313558093573
335990,2,18,3,0,1.2560456796281008
335990,2,18,4,1,1.3334342391127387
335990,2,18,5,0,1.0913256989976927
335990,2,18,6,1,1.3705906199869657
335990,2,18,7,1,1.2395968144289942
335990,2,19,1,2,1.164590356143965
335990,2,19,2,1,1.188195306360074
335990,2,19,3,4,1.4513644025212136
335990,2,19,4,6,1.415255455416268
335990,2,19,5,6,1.6295009758988912
335995,1,15,1,1,0.9023788948242248
335995,1,15,2,2,1.4648385385218987
335995,1,15,3,0,1.3587472201842303
335995,1,15,4,6,2.512863953825723
335995,1,15,5,4,2.797541098546957
335995,1,15,6,1,1.9609909574242776
335995,1,16,1,1,2.2511018800562286
335995,1,16,2,0,2.1235555427654225
335995,1,16,3,1,2.013689565851908
335995,1,16,4,0,1.6365185194317402
335995,1,16,5,1,1.623854900875307
335995,1,16,6,1,1.5943415201860505
335995,1,16,7,1,1.5275702817907684
335995,1,17,1,2,1.567358003213306
335995,1,17,2,1,1.549979175775153
335995,1,17,3,4,1.9396576422099499
335995,1,17,4,4,2.293897397340371
335995,1,17,5,0,1.7490930778482967
335995,1,17,6,0,1.577800023122212
335995,1,18,1,2,2.3402318810021288
335995,1,18,2,1,1.3845954407592598
335995,1,18,3,4,1.7521966374047193
