match_id,innings,over,ball_in_over,b15_actual_remaining,b15_predicted_remaining
335995,2,17,6,11,21.336094
335995,2,17,7,7,21.942335
335995,2,18,1,7,18.73961
335995,2,18,2,7,17.109585
335995,2,18,3,6,17.056099
335995,2,18,4,6,13.972697
335995,2,18,5,6,10.777452
335995,2,18,6,5,9.968613
335995,2,19,1,4,9.035668
335995,2,19,2,4,7.9257054
335995,2,19,3,4,6.867357
335996,1,15,1,76,46.001312
335996,1,15,2,70,54.692066
335996,1,15,3,64,40.46009
335996,1,15,4,64,40.16804
335996,1,15,5,63,41.18528
335996,1,15,6,62,42.444942
335996,1,16,1,62,39.1124
335996,1,16,2,61,30.478464
335996,1,16,3,57,29.531225
335996,1,16,4,57,37.371387
335996,1,16,5,53,36.28702
335996,1,16,6,52,33.86034
335996,1,17,1,46,33.812557
335996,1,17,2,45,30.815218
335996,1,17,3,44,29.091072
335996,1,17,4,43,27.104242
335996,1,17,5,39,25.165688
335996,1,17,6,38,25.945236
335996,1,18,1,38,21.781494
335996,1,18,2,37,20.186007
335996,1,18,3,33,20.199684
335996,1,18,4,29,20.32395
335996,1,18,5,23,21.278173
335996,1,18,6,19,14.698258
335996,1,18,7,15,14.08155
335996,1,19,1,14,13.603832
335996,1,19,2,14,13.911969
335996,1,19,3,10,12.054552
335996,1,19,4,4,9.969822
335996,1,19,5,0,6.4218154
335996,1,19,6,0,3.36659
335996,2,15,1,33,49.524155
335996,2,15,2,33,47.874516
335996,2,15,3,32,42.525013
335996,2,15,4,31,43.52277
335996,2,15,5,29,37.95491
335996,2,15,6,29,44.943707
335996,2,16,1,25,42.729717
335996,2,16,2,23,34.246437
335996,2,16,3,23,32.85034
335996,2,16,4,22,30.041853
335996,2,16,5,22,29.124916
335996,2,16,6,21,28.519783
335996,2,17,1,17,25.87137
335996,2,17,2,16,23.556007
335996,2,17,3,16,21.682997
335996,2,17,4,15,20.718735
335996,2,17,5,14,19.031239
335996,2,17,6,13,20.3027
335996,2,18,1,11,16.37325
335996,2,18,2,10,15.141556
335996,2,18,3,9,14.382829
335996,2,18,4,5,13.033926
335996,2,18,5,5,10.135488
335996,2,18,6,4,6.140776
335996,2,19,1,3,6.005221
335996,2,19,2,2,5.5659366
335996,2,19,3,1,3.946031
335996,2,19,4,0,0.35694143
336002,1,15,1,42,50.854404
336002,1,15,2,41,49.665157
336002,1,15,3,40,49.677223
336002,1,15,4,36,45.26895
336002,1,15,5,35,43.358143
336002,1,15,6,34,41.17233
336002,1,16,1,34,39.937878
336002,1,16,2,34,38.33144
336002,1,16,3,33,36.186466
336002,1,16,4,32,35.845905
336002,1,16,5,26,33.869076
336002,1,16,6,22,35.31636
336002,1,17,1,16,36.061768
336002,1,17,2,15,35.77426
336002,1,17,3,14,26.768217
336002,1,17,4,14,25.441008
336002,1,17,5,14,23.48919
336002,1,17,6,8,21.246162
336002,1,18,1,7,20.550375
336002,1,18,2,6,19.895365
336002,1,18,3,1,17.25871
336002,1,18,4,1,13.484325
336002,1,18,5,1,10.052605
336002,1,18,6,1,8.935633
336002,1,18,7,1,9.103676
336002,1,19,1,1,8.270935
336002,1,19,2,1,4.8762217
336002,1,19,3,1,3.7476048
336002,1,19,4,0,2.9073808
336002,1,19,5,0,1.9633106
336002,1,19,6,0,-0.2588249
336002,2,15,1,65,49.14319
336002,2,15,2,64,44.204887
336002,2,15,3,60,47.5772
336002,2,15,4,56,53.69316
336002,2,15,5,52,37.59661
336002,2,15,6,52,36.232727
336002,2,16,1,48,44.903732
336002,2,16,2,44,39.919975
336002,2,16,3,38,38.901196
336002,2,16,4,37,37.43338
336002,2,16,5,36,39.19292
336002,2,16,6,35,36.744316
336002,2,17,1,34,40.029858
336002,2,17,2,30,27.155857
336002,2,17,3,30,25.136032
336002,2,17,4,29,27.330051
336002,2,17,5,25,24.966656
336002,2,17,6,21,22.034718
336002,2,18,1,21,21.061384
336002,2,18,2,20,21.343319
336002,2,18,3,14,23.672997
336002,2,18,4,8,19.613045
336002,2,18,5,7,17.46348
336002,2,18,6,6,16.504107
336003,1,15,1,59,44.736946
336003,1,15,2,58,43.59862
336003,1,15,3,57,44.074833
336003,1,15,4,53,44.82169
336003,1,15,5,53,40.010323
336003,1,15,6,51,39.726322
336003,1,16,1,50,39.800148
