match_id,innings,over,b6_actual_score,b6_predicted_score
335983,1,0,15,15.291252546080198
335983,1,0,15,15.291252546080198
335983,1,0,15,15.698447001855044
335983,1,0,9,15.291252546080198
335983,1,0,9,20.177350707640898
335983,1,0,9,20.177350707640898
335983,1,1,15,20.941420959704264
335983,1,1,15,25.943853229019737
335983,1,1,15,30.05565877881205
335983,1,1,15,30.01105054652664
335983,1,1,15,30.01105054652664
335983,1,1,15,30.01105054652664
335983,1,1,15,30.01105054652664
335983,1,2,9,18.89390231046257
335983,1,2,9,23.12172981034179
335983,1,2,9,23.12172981034179
335983,1,2,9,23.3565901537406
335983,1,2,15,30.21207051347205
335983,1,2,14,16.21228304244064
335983,1,2,16,14.304697737925137
335983,1,3,14,15.880736833772735
335983,1,3,14,15.880736833772735
335983,1,3,14,16.13387891659472
335983,1,3,16,15.880736833772735
335983,1,3,14,16.13387891659472
335983,1,3,14,21.312545055902948
335983,1,4,16,15.655681712974271
335983,1,4,16,15.655681712974271
335983,1,4,14,25.267751181595656
335983,1,4,14,28.576202330020962
335983,1,4,14,28.576202330020962
335983,1,4,14,28.576202330020962
335983,1,5,16,19.587836866456087
335983,1,5,16,25.853797570372144
335983,1,5,16,25.853797570372144
335983,1,5,16,26.731369849678952
335983,1,5,14,27.91008022147452
335983,1,5,14,27.91008022147452
335983,1,6,16,29.513031139599388
335983,1,6,16,29.513031139599388
335983,1,6,2,14.557056275743088
335983,1,6,3,16.145159233733118
335983,1,6,3,16.515340172638837
335983,1,6,2,16.145159233733118
335983,1,7,2,15.199839504586025
335983,1,7,32,13.7008611550585
335983,1,7,33,12.183349635204086
335983,1,7,33,13.7008611550585
335983,1,7,32,20.686589789733556
335983,1,7,32,20.686589789733556
335983,1,8,33,14.489132453901071
335983,1,8,32,24.854807045247195
335983,1,8,32,25.03283070341536
335983,1,8,33,14.489132453901071
335983,1,8,33,20.367799156024123
335983,1,8,33,21.53244202976594
335983,1,9,33,23.603979219900367
335983,1,9,33,24.813460561527084
335983,1,9,32,25.831994201263587
335983,1,9,33,24.813460561527084
335983,1,9,33,24.813460561527084
335983,1,9,33,25.831994201263587
335983,1,10,33,31.928772062763862
335983,1,10,33,33.651867310083105
