match_id,innings,over,ball_in_over,bowler,w13_actual,w13_predicted_prob
335983,1,5,6,JR Hopes,0,0.6122059130635538
335983,1,8,6,IK Pathan,0,0.6338563966305002
335983,1,12,6,WA Mota,0,0.29472694402225663
335983,1,15,6,IK Pathan,0,0.5206711688008298
335983,2,5,6,MS Gony,0,0.6738102270760189
335983,2,8,6,Joginder Sharma,1,0.8999497198105184
335983,2,12,6,P Amarnath,0,0.6970573604181646
335990,1,5,6,SR Watson,0,0.3991508111133669
335990,1,8,6,SK Warne,0,0.43756636164216617
335990,1,15,6,SK Warne,0,0.574781761858776
335990,2,5,6,PP Ojha,0,0.7629558186397989
335990,2,8,6,Shahid Afridi,1,0.558351711191323
335990,2,12,6,A Symonds,0,0.33141542236375815
335995,1,5,6,VRV Singh,0,0.34052317413983285
335995,1,8,6,PP Chawla,0,0.3146297131622983
335995,2,5,6,MF Maharoof,0,0.8100462837029251
335995,2,8,6,Mohammad Asif,0,0.6183359661804397
335996,1,5,6,Z Khan,0,0.38473032545711106
335996,1,8,6,B Akhil,0,0.5246123976906721
335996,1,12,6,B Akhil,0,0.24622943851551907
335996,2,5,6,MS Gony,1,0.5428172223298071
335996,2,8,6,JA Morkel,1,0.6326031580255981
335996,2,12,6,P Amarnath,1,0.5607845094640608
336002,1,5,6,DW Steyn,1,0.4085388397607475
336002,1,8,6,B Akhil,0,0.6999446457244434
336002,1,12,6,R Vinay Kumar,1,0.40928757434178886
336002,2,5,6,DP Vijaykumar,0,0.3491593612635211
336002,2,8,6,SB Bangar,0,0.25713855110630673
336002,2,12,6,WPUJC Vaas,0,0.32683058360703543
336003,1,5,6,AB Dinda,0,0.5525658210181611
336003,1,8,6,Mohammad Hafeez,0,0.7495781716483165
336003,1,12,6,Umar Gul,0,0.21076692213875886
336003,2,5,6,IK Pathan,0,0.3636179248850948
336003,2,8,6,Gagandeep Singh,0,0.364322085425683
336003,2,12,6,Gagandeep Singh,0,0.5195494826606982
336003,2,15,6,JR Hopes,0,0.555777152258144
336016,1,5,6,PP Chawla,1,0.8805599543024917
336016,1,8,6,VRV Singh,1,0.36994914750328245
336016,2,5,6,Z Khan,0,0.4994647133928965
336018,1,5,6,DJ Bravo,0,0.28836183680483285
336018,1,8,6,DS Kulkarni,0,0.3281485088860556
336018,1,12,6,A Nehra,0,0.2824198653983287
336018,1,15,6,DJ Bravo,0,0.3457627662601102
336018,2,5,6,JA Morkel,0,0.7898669857950567
336018,2,8,6,L Balaji,0,0.3689712360986763
336022,1,5,6,VRV Singh,0,0.9362621438675945
336022,1,8,6,RR Powar,1,0.5972333778072453
336036,1,5,6,YK Pathan,0,0.18173951204341499
336036,1,8,6,SK Trivedi,0,0.3390916258779604
336036,1,12,6,SK Trivedi,0,0.4162289978549434
336036,1,15,6,SK Warne,0,0.42414393045220566
336036,2,5,6,CRD Fernando,0,0.22100558716939886
336036,2,15,6,CRD Fernando,0,0.26487669762336674
392188,1,8,6,A Kumble,0,0.26969004595982
392188,1,15,6,KP Pietersen,0,0.3050981203283438
392188,2,5,6,RP Singh,1,0.17893289498085913
392188,2,8,6,PP Ojha,0,0.24775750138087757
392188,2,15,6,SB Styris,1,0.2931583465138465
392212,1,5,6,DJ Bravo,0,0.1959051460131779
392212,1,8,6,DJ Bravo,0,0.23541783845750808
392212,1,12,6,ST Jayasuriya,0,0.3157697516524169
392212,1,15,6,DS Kulkarni,0,0.30097966991448194
392212,2,8,6,TL Suman,0,0.18418770180328353
392212,2,12,6,RJ Harris,0,0.22218951539075396
392212,2,15,6,RG Sharma,0,0.17295786785309267
392216,1,5,6,S Sreesanth,0,0.6244958330404009
392216,1,8,6,PP Chawla,0,0.6667733867934506
392216,1,15,6,IK Pathan,1,0.7205126416461899
392216,2,8,6,A Symonds,0,0.9440917893160534
392216,2,15,6,PP Ojha,0,0.42319825060433985
392220,1,5,6,SK Trivedi,0,0.8076793779520502
392220,1,8,6,SK Warne,1,0.8186246500115161
392220,1,12,6,YK Pathan,0,0.5412393278309983
392220,2,5,6,WPUJC Vaas,0,0.40207254327781433
392220,2,8,6,A Symonds,0,0.46952238819373476
392220,2,15,6,RG Sharma,0,0.4050993256822154
392223,1,12,6,DR Smith,0,0.23746702859487154
392223,1,15,6,RP Singh,0,0.25434155966655464
392223,2,5,6,A Nehra,1,0.9040773145067346
392223,2,8,6,A Mishra,0,0.8656450496566847
392223,2,12,6,PJ Sangwan,0,0.37556710858118025
392223,2,15,6,A Nehra,1,0.7994314170434111
392228,1,5,6,A Symonds,0,0.24610174332726598
392228,1,8,6,Harmeet Singh,0,0.4187940287866129
392228,1,12,6,RG Sharma,0,0.2954988787604363
392228,2,5,6,BJ Hodge,1,0.7875084450461176
392228,2,12,6,M Kartik,0,0.3571662698514431
392236,1,5,6,A Symonds,0,0.18341214967393443
392236,1,8,6,Jaskaran Singh,0,0.4401126405288177
392236,1,12,6,A Symonds,0,0.18902201279855302
392236,2,5,6,RE van der Merwe,1,0.9216165727422242
392236,2,8,6,B Akhil,0,0.44043134745982637
392236,2,12,6,RE van der Merwe,1,0.5283450645077185
392237,1,5,6,PP Ojha,0,0.34495641791191467
392237,1,8,6,A Symonds,1,0.3732859333927606
392237,1,12,6,RG Sharma,0,0.3148254324218234
392237,2,5,6,V Sehwag,0,0.9873651196456567
392237,2,12,6,A Nehra,0,0.5435942537452246
392237,2,15,6,PJ Sangwan,0,0.5906053403456245
419110,1,5,6,M Muralitharan,0,0.4340309854148999
419110,1,8,6,R Ashwin,0,0.5092071794559596
419110,1,12,6,R Ashwin,0,0.43193054932566266
419110,1,15,6,L Balaji,1,0.6209766104373289
419110,2,5,6,PP Ojha,0,0.2337367797258108
419110,2,8,6,RG Sharma,0,0.31870560619408567
419112,1,5,6,JH Kallis,1,0.5851302557370194
419112,1,8,6,A Kumble,0,0.46755281123925085
419112,1,12,6,V Kohli,0,0.577710393139139
419112,2,8,6,PP Chawla,0,0.2964617184524476
419112,2,15,6,Bipul Sharma,0,0.37423270904751227
419113,1,5,6,LR Shukla,0,0.535902940990645
419113,1,8,6,LR Shukla,0,0.47957054129264454
419113,1,12,6,SE Bond,0,0.2478345766279125
419113,2,8,6,JM Kemp,1,0.6487080419191412
419113,2,15,6,M Muralitharan,0,0.3627307823455868
419121,1,5,6,L Balaji,1,0.6072129763547001
419121,1,8,6,M Muralitharan,0,0.2908987653925568
419121,1,12,6,R Ashwin,0,0.45241928371242995
419121,2,5,6,J Theron,1,0.42750309904145656
419121,2,8,6,RR Powar,0,0.3539930775697563
419121,2,12,6,J Theron,1,0.24925868506586873
419125,1,5,6,DJ Bravo,0,0.7790641841649104
419125,1,8,6,Harbhajan Singh,0,0.4282727989435449
419125,1,12,6,SL Malinga,0,0.5880435305088128
419125,1,15,6,Z Khan,0,0.5986071565211037
419125,2,5,6,L Balaji,0,0.7540994084267028
419125,2,8,6,SB Jakati,0,0.7981782236025209
419125,2,12,6,M Muralitharan,1,0.5904280572531043
