match_id,innings,over,ball_in_over,bowler,w6_actual,w6_predicted_prob
335983,1,5,6,JR Hopes,1,0.6599496825252771
335983,1,8,6,IK Pathan,0,0.33096061792279047
335983,1,12,6,WA Mota,0,0.0064771233625769845
335983,1,15,6,IK Pathan,0,0.29206271760777025
335983,2,5,6,MS Gony,0,0.8571770113258725
335983,2,8,6,Joginder Sharma,1,0.9968881188914713
335983,2,12,6,P Amarnath,1,0.9542312857953102
335990,1,5,6,SR Watson,0,0.03602831265410558
335990,1,8,6,SK Warne,0,0.0019943244646448035
335990,1,15,6,SK Warne,0,0.1290033739355624
335990,2,5,6,PP Ojha,1,0.9566572145221568
335990,2,8,6,Shahid Afridi,1,0.024036158344690126
335990,2,12,6,A Symonds,0,0.0005888056816104919
335995,1,5,6,VRV Singh,1,0.022991143014081356
335995,1,8,6,PP Chawla,0,0.009736627206993451
335995,2,5,6,MF Maharoof,1,0.982995698645519
335995,2,8,6,Mohammad Asif,0,0.8375541390963319
335996,1,5,6,Z Khan,0,0.03235517795396552
335996,1,8,6,B Akhil,1,0.004808442740184625
335996,1,12,6,B Akhil,0,0.0017612260044657063
335996,2,5,6,MS Gony,1,0.13596275591190882
335996,2,8,6,JA Morkel,1,0.04455030538395355
335996,2,12,6,P Amarnath,1,0.12833411343994822
336002,1,5,6,DW Steyn,1,0.01811356868468096
336002,1,8,6,B Akhil,0,0.2307940277063791
336002,1,12,6,R Vinay Kumar,1,0.014261900377058722
336002,2,5,6,DP Vijaykumar,1,0.0005811308118623518
336002,2,8,6,SB Bangar,0,0.0001251714156798944
336002,2,12,6,WPUJC Vaas,0,0.0013462739425336996
336003,1,5,6,AB Dinda,0,0.4129351325749674
336003,1,8,6,Mohammad Hafeez,1,0.9006006624504637
336003,1,12,6,Umar Gul,0,0.009352056756731567
336003,2,5,6,IK Pathan,0,0.011930600428873964
336003,2,8,6,Gagandeep Singh,0,0.008051524057851376
336003,2,12,6,Gagandeep Singh,0,0.1407413867719664
336003,2,15,6,JR Hopes,0,0.061263315079243576
336016,1,5,6,PP Chawla,1,0.9966169169378274
336016,1,8,6,VRV Singh,1,0.011553141775510409
336016,2,5,6,Z Khan,0,0.23614940580278954
336018,1,5,6,DJ Bravo,0,0.005523442954077901
336018,1,8,6,DS Kulkarni,0,0.0034954726039864957
336018,1,12,6,A Nehra,0,0.022353209736852713
336018,1,15,6,DJ Bravo,0,0.030866404378574137
336018,2,5,6,JA Morkel,1,0.9993178079161472
