match_id,innings,over,ball_in_over,bowler,w14_actual_future_economy,w14_predicted_future_economy
392237,1,8,6,A Symonds,2.0,10.621451937584538
392237,1,12,6,RG Sharma,9.0,10.34964348033288
392237,2,5,6,V Sehwag,6.0,9.798358331495322
392237,2,12,6,A Nehra,9.0,7.895782441687901
392237,2,15,6,PJ Sangwan,3.0,10.983165746231979
419110,1,5,6,M Muralitharan,9.23076923076923,7.365851030264316
419110,1,8,6,R Ashwin,7.5,6.609585963085437
419110,1,12,6,R Ashwin,10.0,7.376592289532229
419110,1,15,6,L Balaji,7.714285714285714,8.68797006013179
419110,2,5,6,PP Ojha,8.333333333333334,8.122757733319284
419110,2,8,6,RG Sharma,7.0,7.33673841786194
419112,1,5,6,JH Kallis,8.0,12.251255423271928
419112,1,8,6,A Kumble,11.0,9.651287210323291
419112,1,12,6,V Kohli,6.0,11.929960243273253
419112,2,8,6,PP Chawla,11.0,8.039962724876123
419112,2,15,6,Bipul Sharma,23.0,8.692494612172812
419113,1,5,6,LR Shukla,9.333333333333334,8.939935184086147
419113,1,8,6,LR Shukla,10.5,9.300651018106683
419113,1,12,6,SE Bond,17.0,8.095671882926725
419113,2,8,6,JM Kemp,2.3076923076923075,7.884976144954948
419113,2,15,6,M Muralitharan,3.0,7.945262802007543
419121,1,5,6,L Balaji,7.0,7.915047445528934
419121,1,8,6,M Muralitharan,6.0,7.529642754336922
419121,1,12,6,R Ashwin,8.0,8.538272077413453
419121,2,5,6,J Theron,3.473684210526316,8.233324607213932
419121,2,8,6,RR Powar,3.0,9.043789400441783
419121,2,12,6,J Theron,3.6923076923076925,9.62813335071947
419125,1,5,6,DJ Bravo,9.666666666666666,10.02862953612507
419125,1,8,6,Harbhajan Singh,6.0,7.697929575514786
419125,1,12,6,SL Malinga,9.692307692307692,11.455198356937805
419125,1,15,6,Z Khan,12.0,15.330996148006747
419125,2,5,6,L Balaji,13.0,8.303634790274938
419125,2,8,6,SB Jakati,4.0,8.730168274266905
419125,2,12,6,M Muralitharan,7.0,6.300039799452452
419134,1,5,6,S Narwal,17.0,9.662558959088472
419134,1,8,6,SK Warne,8.0,8.783826086561247
419134,1,15,6,SK Trivedi,9.0,11.949384725665212
419134,2,5,6,UT Yadav,7.5,8.377958210861062
419134,2,8,6,A Mishra,6.0,8.101406520236617
419137,1,8,6,SK Warne,14.0,9.332035064737243
419137,1,12,6,SK Warne,12.0,11.727155124284318
419137,2,5,6,JA Morkel,13.5,6.307108128452757
419137,2,8,6,SB Jakati,13.5,8.362431681140139
419137,2,15,6,DE Bollinger,6.0,9.924759474405949
419141,1,5,6,A Symonds,7.0,9.966630148341647
419141,1,8,6,RJ Harris,9.0,8.466397832073461
419141,1,12,6,RJ Harris,12.0,9.867501307329594
419141,1,15,6,Harmeet Singh,3.4285714285714284,10.92193747125566
419141,2,5,6,M Morkel,9.333333333333334,9.168830095504248
419141,2,12,6,SK Trivedi,3.6,10.947464588484479
419141,2,15,6,SK Warne,4.0,10.465665697924447
419142,1,5,6,Harbhajan Singh,7.0,7.970294770561226
419142,1,8,6,DJ Bravo,10.285714285714286,9.197189427355633
419142,1,12,6,SL Malinga,10.285714285714286,8.80602028723828
419142,1,15,6,KA Pollard,6.0,9.267648164567472
419142,2,5,6,R Ashwin,3.0,7.6213392657276104
419142,2,8,6,T Thushara,10.5,7.487019690334904
419142,2,12,6,R Ashwin,2.0,8.365994187702329
419143,1,5,6,YK Pathan,5.538461538461538,7.272030695662696
419143,1,8,6,SK Warne,12.461538461538462,5.68711000607191
419143,1,12,6,SK Trivedi,6.461538461538462,9.251388470811117
419143,2,5,6,PP Chawla,7.333333333333333,7.867181906585754
419150,1,8,6,SK Trivedi,10.0,8.381987332168752
419150,1,12,6,SK Trivedi,12.0,11.66810782894943
419150,1,15,6,AP Dole,13.0,13.240378858920554
419150,2,5,6,DS Kulkarni,11.142857142857142,11.142780670608985
419150,2,8,6,Harbhajan Singh,5.5,9.50407830043647
419150,2,12,6,SL Malinga,7.5,11.816370183721324
419150,2,15,6,SL Malinga,13.0,11.386376781809696
419152,1,5,6,AB McDonald,12.666666666666666,8.976679611774113
419152,1,8,6,PD Collingwood,6.666666666666667,8.50222092787924
419152,1,12,6,PD Collingwood,4.0,10.683475962075361
419152,2,5,6,DJ Bravo,11.142857142857142,8.681892390268622
419152,2,8,6,KA Pollard,3.6666666666666665,8.465633286498946
419152,2,12,6,KA Pollard,5.0,7.837010717708289
419152,2,15,6,Harbhajan Singh,5.0,9.440653655269188
419157,1,5,6,JH Kallis,12.0,9.664424315035493
419157,1,8,6,Pankaj Singh,19.714285714285715,11.993356666052891
419157,1,12,6,JH Kallis,19.0,11.08677918213676
419157,2,5,6,R McLaren,5.0,6.832447218938151
419157,2,8,6,Harbhajan Singh,7.5,7.635757904276641
501209,1,5,6,B Lee,11.0,9.059733869037233
