Feature,Importance
venue,4299
bowling_team,2250
batting_team,2244
current_economy,1445
over,1303
current_balls_bowled,1068
current_runs_conceded,730
boundary_percentage,502
dot_ball_percentage,488
innings,315
current_wickets,199
match_phase,157
