iter	Logloss
0	0.681641887
1	0.6706761209
2	0.6634971213
3	0.655700603
4	0.647848862
5	0.6417454431
6	0.6378773528
7	0.6312112117
8	0.6257594876
9	0.6215739249
10	0.6179068165
11	0.6139017535
12	0.6108896088
13	0.6078339752
14	0.6058464824
15	0.6029331935
16	0.6016717373
17	0.5994992962
18	0.5971802376
19	0.5949445133
20	0.5941969484
21	0.5921822912
22	0.5908319017
23	0.5890506889
24	0.5885060728
25	0.5874093462
26	0.5862579089
27	0.5847759681
28	0.5843954046
29	0.5831301105
30	0.5824299458
31	0.5817618091
32	0.5807423946
33	0.5800919495
34	0.5792474655
35	0.5783297165
36	0.5776611724
37	0.5771215316
38	0.5765031685
39	0.5754037803
40	0.57503125
41	0.5744252732
42	0.5738710541
43	0.572958446
44	0.5721520962
45	0.5716664843
46	0.5709437451
47	0.5705893845
48	0.5702817717
49	0.5701198354
50	0.5694763802
51	0.5690902017
52	0.5688034535
53	0.5681984977
54	0.5676458094
55	0.5671619009
56	0.5668820616
57	0.5664940081
58	0.5661510313
59	0.5656755484
60	0.565506275
61	0.5653124098
62	0.5651615802
63	0.5648546924
64	0.5639504791
65	0.5636861706
66	0.5632693234
67	0.5628422898
68	0.5624803569
69	0.5621310331
70	0.5619389163
71	0.5613705543
72	0.560806695
73	0.5605432361
74	0.5602822185
75	0.5598420549
76	0.5594838398
77	0.5590057765
78	0.5585320932
79	0.5584090961
80	0.5579979331
81	0.5575855995
82	0.5573371129
83	0.5570691925
84	0.5567741594
85	0.5565843677
86	0.5565488987
87	0.5562028258
88	0.5558524667
89	0.55554341
90	0.5551263153
91	0.5545410171
92	0.5541851461
93	0.5539812057
94	0.553636707
95	0.5534578571
96	0.553221219
97	0.5528732779
98	0.552405065
99	0.5522151045
100	0.5519780657
101	0.551645415
102	0.5511895289
103	0.5508590016
104	0.550580282
105	0.5502477825
106	0.549977443
107	0.5499774425
108	0.5493604324
109	0.5492505645
110	0.5491247995
111	0.5487979793
112	0.5482540345
113	0.5480325681
114	0.5480325675
115	0.5479719688
116	0.5474138396
117	0.5471099602
118	0.5469810313
119	0.5466452389
120	0.5460669272
121	0.5454353279
122	0.5452101634
123	0.5450726931
124	0.5450656673
125	0.5448620024
126	0.5446523201
127	0.5443072642
128	0.5439209883
129	0.5439108176
130	0.5435048116
131	0.5433786042
132	0.5430435521
133	0.5427528702
134	0.5425519946
135	0.5423425954
136	0.5418890503
137	0.5418890465
138	0.5416831382
139	0.5411953677
140	0.5409524893
141	0.5406796165
142	0.54058467
143	0.5405481011
144	0.5403818628
145	0.5399496369
146	0.5396761721
147	0.539245281
148	0.5390889152
149	0.5390889118
150	0.538693478
151	0.5385510438
152	0.5384391795
153	0.5382783473
154	0.5381084262
155	0.5376412491
156	0.5372162459
157	0.536970355
158	0.5365616909
159	0.5361670091
160	0.5359325834
161	0.5357745478
162	0.535661515
163	0.5353802224
164	0.535114173
165	0.5349535668
166	0.5346428818
167	0.5344026924
168	0.5343962958
169	0.5343930592
170	0.5342649464
171	0.5342368096
172	0.534039359
173	0.5337234423
174	0.5334758211
175	0.5332302066
176	0.5331244549
177	0.5329615042
178	0.5324703415
179	0.532294714
180	0.5320229279
181	0.5318343307
182	0.5317046556
183	0.53148293
184	0.5312510133
185	0.5310877541
186	0.5309687328
187	0.5304897566
188	0.5300888463
189	0.5299158803
190	0.5294539609
191	0.5293487642
192	0.5290607722
193	0.5285585515
194	0.5284067764
195	0.5282505676
196	0.5279683212
197	0.5274875256
198	0.5274571478
199	0.5272928777
200	0.5265343968
201	0.5264239769
202	0.5258139222
203	0.5253467653
204	0.5250384908
205	0.524646441
206	0.524185794
207	0.524047052
208	0.5240130863
209	0.5236885435
210	0.523542692
211	0.5234025515
212	0.5229613843
213	0.5226677134
214	0.5225006842
215	0.5222302295
216	0.5221416854
217	0.5216004365
218	0.5212640452
219	0.5208586968
220	0.5205668228
221	0.5203198768
222	0.5199493709
223	0.5194563726
224	0.5192990682
225	0.5190973939
226	0.5189698132
227	0.5186350573
228	0.5183445159
229	0.518063091
230	0.5177627289
231	0.5173369914
232	0.5171736045
233	0.5170246222
234	0.5167396406
235	0.5167226254
236	0.5165450829
237	0.5161851883
238	0.5160127378
239	0.5156665962
240	0.5154919489
241	0.515305204
242	0.5150789831
243	0.5148663199
244	0.5145155168
245	0.5143707004
246	0.514185337
247	0.5137971016
248	0.5137178523
249	0.513614741
250	0.5133540908
251	0.5131757294
252	0.5130190049
253	0.5127696777
254	0.5122200931
255	0.5120955156
256	0.5117713964
257	0.5114316898
258	0.511212731
259	0.5110667668
260	0.5109776354
261	0.5106390782
262	0.5102889724
263	0.5101324418
264	0.5097924432
265	0.5092080003
266	0.5088834862
267	0.5085442485
268	0.5080361816
269	0.5076306671
270	0.5074011164
271	0.5070683033
272	0.5068073244
273	0.5065828229
274	0.5064520692
275	0.5062930463
276	0.5056622107
277	0.5055158318
278	0.5051929586
279	0.504961398
280	0.5048956709
281	0.5043865019
282	0.504206996
283	0.5039472169
284	0.5036824031
285	0.5033567293
286	0.5033421043
287	0.5032818327
288	0.5032571367
289	0.5028321203
290	0.5027681904
291	0.5026531347
292	0.5022946912
293	0.5020372054
294	0.5017524618
295	0.5013834485
296	0.5009786673
297	0.500945503
298	0.5005125703
299	0.5001865693
