match_id,innings,over,ball_in_over,b1_actual_score,b1_predicted_score
335983,1,0,1,240,177.57279713162472
335983,1,0,2,240,177.57279713162472
335983,1,0,3,240,177.57279713162472
335983,1,0,4,240,177.6978069965433
335983,1,0,5,240,175.66276958025034
335983,1,0,6,240,174.10541817894054
335983,1,1,1,240,174.5808533011899
335983,1,1,2,240,167.50386329611302
335983,1,1,3,240,168.07429392560857
335983,1,1,4,240,169.01352242065076
335983,1,1,5,240,169.21756413217003
335983,1,1,6,240,168.98655773847852
335983,1,1,7,240,173.17739397062363
335983,1,2,1,240,172.87617304330328
335983,1,2,2,240,168.60796735616523
335983,1,2,3,240,168.37696096247373
335983,1,2,4,240,169.36426529635858
335983,1,2,5,240,173.3765230514508
335983,1,2,6,240,174.17037130820626
335983,1,2,7,240,179.71123484876887
335983,1,3,1,240,179.54377279274675
335983,1,3,2,240,175.26489687869548
335983,1,3,3,240,175.45499423455533
335983,1,3,4,240,175.32653936258518
335983,1,3,5,240,175.8529911304454
335983,1,3,6,240,178.67868764528725
335983,1,4,1,240,175.4940014186073
335983,1,4,2,240,174.95290699176923
335983,1,4,3,240,180.0210994837812
335983,1,4,4,240,177.57719093494075
335983,1,4,5,240,181.1965804996354
335983,1,4,6,240,179.70014268902136
335983,1,5,1,240,179.45766090897163
335983,1,5,2,240,176.23474192385535
335983,1,5,3,240,175.8891157636766
335983,1,5,4,240,176.52948929434612
335983,1,5,5,240,177.90573931543415
335983,1,5,6,240,180.57525076518286
335983,1,6,1,240,179.24454253872483
335983,1,6,2,240,178.92368071616664
335983,1,6,3,240,182.06290309002526
335983,1,6,4,240,179.797969028318
335983,1,6,5,240,182.68342599255072
335983,1,6,6,240,182.37388807633891
335983,1,7,1,240,174.0397066305003
335983,1,7,2,240,175.8356491183443
335983,1,7,3,240,177.4280656362344
335983,1,7,4,240,177.76994885813514
335983,1,7,5,240,176.67757314343146
335983,1,7,6,240,176.0519494866516
335983,1,8,1,240,175.87844654420385
335983,1,8,2,240,174.58860678684422
335983,1,8,3,240,177.6055617173413
335983,1,8,4,240,176.80323926380285
335983,1,8,5,240,181.6819295414188
335983,1,8,6,240,181.80483113886572
335983,1,9,1,240,183.74114311706964
335983,1,9,2,240,182.89730499101753
335983,1,9,3,240,183.937872647011
335983,1,9,4,240,179.36529055579933
335983,1,9,5,240,181.11219591091708
335983,1,9,6,240,182.14762909247133
335983,1,10,1,240,185.9454429450792
335983,1,10,2,240,185.38446280291606
335983,1,10,3,240,186.18394626023778
335983,1,10,4,240,186.38094273962193
335983,1,10,5,240,192.20451164105282
335983,1,10,6,240,193.56877643097658
335983,1,11,1,240,195.44538652089295
335983,1,11,2,240,196.0475334048148
335983,1,11,3,240,197.07542949270572
335983,1,11,4,240,200.0390092865482
335983,1,11,5,240,200.78424972299052
335983,1,11,6,240,200.78424972299052
335983,1,12,1,240,201.1792115317018
335983,1,12,2,240,195.58153898627796
335983,1,12,3,240,195.97548830447303
335983,1,12,4,240,195.34150521996153
335983,1,12,5,240,194.2448970132018
335983,1,12,6,240,193.5049488435907
335983,1,12,7,240,193.5049488435907
335983,1,12,8,240,193.64190053016407
335983,1,13,1,240,194.2448970132018
335983,1,13,2,240,193.5049488435907
335983,1,13,3,240,193.64190053016407
335983,1,13,4,240,193.54331408740504
335983,1,13,5,240,195.1043106794822
335983,1,13,6,240,195.09654233649277
335983,1,14,1,240,197.67699521287452
335983,1,14,2,240,197.67699521287452
335983,1,14,3,240,197.81768922629976
335983,1,14,4,240,197.75436735296861
335983,1,14,5,240,198.28543264260793
335983,1,14,6,240,204.1662917263599
335983,1,15,1,240,205.3165639809254
335983,1,15,2,240,206.11153958015285
335983,1,15,3,240,205.31702179556407
335983,1,15,4,240,202.79135632809638
335983,1,15,5,240,202.3839900211472
335983,1,15,6,240,201.59427535566076
335983,1,16,1,240,200.8020423025466
335983,1,16,2,240,199.76634193391473
335983,1,16,3,240,204.14000746756395
335983,1,16,4,240,206.0148925061794
335983,1,16,5,240,206.0148925061794
335983,1,16,6,240,205.24005702551014
335983,1,17,1,240,202.79487509695863
335983,1,17,2,240,206.09537604509558
335983,1,17,3,240,205.16480898345137
335983,1,17,4,240,204.22049100648013
335983,1,17,5,240,206.50474628895756
335983,1,17,6,240,206.5143056537367
335983,1,18,1,240,209.0438960654173
335983,1,18,2,240,209.07782953538305
335983,1,18,3,240,207.98303715414445
335983,1,18,4,240,207.97347778936532
335983,1,18,5,240,209.07782953538305
335983,1,18,6,240,209.07782953538305
335983,1,19,1,240,211.96948529831687
335983,1,19,2,240,213.01897474104456
335983,1,19,3,240,213.01897474104456
335983,1,19,4,240,213.01897474104456
335983,1,19,5,240,213.01897474104456
335983,1,19,6,240,213.01897474104456
335983,2,0,1,207,167.8403292401814
335983,2,0,2,207,168.00220138188607
335983,2,0,3,207,165.7036874351381
335983,2,0,4,207,165.08835189939012
335983,2,0,5,207,161.37563819848128
335983,2,0,6,207,171.23466359832625
335983,2,1,1,207,170.11406641670317
335983,2,1,2,207,165.12800360702778
335983,2,1,3,207,163.3912446468902
335983,2,1,4,207,160.19062436375927
335983,2,1,5,207,167.71083634982074
335983,2,1,6,207,166.06161187572408
335983,2,2,1,207,166.64543095637234
335983,2,2,2,207,174.3388283870912
335983,2,2,3,207,168.9752767617954
335983,2,2,4,207,180.88243917691614
335983,2,2,5,207,175.437861500492
335983,2,2,6,207,174.3388283870912
335983,2,3,1,207,170.81422621586583
335983,2,3,2,207,167.79911516780155
335983,2,3,3,207,166.06161187572408
335983,2,3,4,207,165.0410719605752
335983,2,3,5,207,167.7594634601639
335983,2,3,6,207,176.03784179681136
335983,2,4,1,207,173.8574658066446
335983,2,4,2,207,171.16605909160398
335983,2,4,3,207,170.81422621586583
335983,2,4,4,207,168.9752767617954
335983,2,4,5,207,174.3231467816189
335983,2,4,6,207,177.65254558388554
335983,2,5,1,207,176.50352277178567
335983,2,5,2,207,183.13460501555414
335983,2,5,3,207,184.25709467725858
335983,2,5,4,207,184.25709467725858
335983,2,5,5,207,184.706006335919
335983,2,5,6,207,174.3279930597168
335983,2,5,7,207,174.27895123199153
335983,2,5,8,207,175.84808582545546
335983,2,6,1,207,176.4291815574641
335983,2,6,2,207,176.4291815574641
335983,2,6,3,207,176.9423188345162
335983,2,6,4,207,177.5234386028707
335983,2,6,5,207,178.25866611011406
335983,2,6,6,207,178.34389304530805
335983,2,7,1,207,177.65018042647475
335983,2,7,2,207,177.42301955931296
335983,2,7,3,207,177.197534470331
335983,2,7,4,207,176.8306419898676
335983,2,7,5,207,178.47914964474865
335983,2,7,6,207,178.8506546411079
335983,2,8,1,207,179.0874724066393
335983,2,8,2,207,179.0874724066393
335983,2,8,3,207,178.91877327909788
335983,2,8,4,207,178.91877327909788
335983,2,8,5,207,178.51219660132097
335983,2,8,6,207,178.51219660132097
335983,2,8,7,207,178.04651562634666
335983,2,9,1,207,178.34185689375343
335983,2,9,2,207,178.51219660132097
335983,2,9,3,207,178.04651562634666
335983,2,9,4,207,178.04651562634666
335983,2,9,5,207,181.59268507642517
335983,2,9,6,207,183.0005029302021
335983,2,10,1,207,184.1137201938774
335983,2,10,2,207,180.22142988065085
335983,2,10,3,207,180.93296247030085
335983,2,10,4,207,182.11197370690118
335983,2,10,5,207,182.01487279999003
335983,2,10,6,207,181.02616581293958
335983,2,11,1,207,182.27687142341284
335983,2,11,2,207,183.51983352831238
335983,2,11,3,207,187.06576421069724
335983,2,11,4,207,186.51053291107667
335983,2,11,5,207,185.36238194982138
335983,2,11,6,207,185.36238194982138
335983,2,12,1,207,186.93056300776854
335983,2,12,2,207,188.68786820283643
335983,2,12,3,207,189.34185754830028
335983,2,12,4,207,189.34185754830028
335983,2,12,5,207,193.18207816150084
335983,2,12,6,207,193.18207816150084
335983,2,13,1,207,193.18207816150084
335983,2,13,2,207,191.85133406169479
335983,2,13,3,207,191.48361130961598
335983,2,13,4,207,192.09830159077237
335983,2,13,5,207,193.62931726152615
335983,2,13,6,207,193.76461102939683
335983,2,13,7,207,193.90105005741955
335983,2,14,1,207,194.18948716409676
335983,2,14,2,207,192.7277986156669
335983,2,14,3,207,194.5179916730083
335983,2,14,4,207,194.02702564877515
335983,2,14,5,207,194.02702564877515
