match_id,innings,over,ball_in_over,b8_actual,b8_predicted_prob
335983,1,0,1,0,0.34292879586449154
335983,1,0,2,0,0.3758145906828431
335983,1,0,3,0,0.3938488080906707
335983,1,0,4,0,0.4602282905161428
335983,1,0,5,1,0.43792108377104433
335983,1,0,6,0,0.45949297480388923
335983,1,1,1,1,0.4525308533705715
335983,1,1,2,1,0.4881511531128101
335983,1,1,3,1,0.48756148271071864
335983,1,1,4,0,0.48647024865685395
335983,1,1,5,0,0.4975858702072483
335983,1,1,6,0,0.48628602533951665
335983,1,1,7,0,0.5312862305625888
335983,1,2,1,0,0.5190878099045545
335983,1,2,2,1,0.5457346582819104
335983,1,2,3,0,0.5423809985898028
335983,1,2,4,0,0.5448509898803643
335983,1,2,5,0,7.095521043020302e-05
335983,1,2,6,0,0.5115990693400252
335983,1,2,7,0,0.5434680194742225
335983,1,3,1,0,0.5337666435806119
335983,1,3,2,0,0.5638169988704329
335983,1,3,3,0,0.5585545807436305
335983,1,3,4,0,0.5565925666499939
335983,1,3,5,0,0.5246458156249383
335983,1,3,6,1,0.5246355576704819
335983,1,4,1,0,0.5206506544590599
335983,1,4,2,0,0.551039817989514
335983,1,4,3,1,0.5606554352374578
335983,1,4,4,1,0.5762705207465938
335983,1,4,5,0,0.5393899851249258
335983,1,4,6,0,0.5176374469950858
335983,1,5,1,1,0.5250350315577206
335983,1,5,2,1,0.5543179916196347
335983,1,5,3,0,0.536775701611716
335983,1,5,4,0,0.5816632492887467
335983,1,5,5,0,0.5157067894326071
335983,1,5,6,0,0.5158472392310883
335983,2,0,1,1,0.34292879586449154
335983,2,0,2,0,0.3758145906828431
335983,2,0,3,0,0.3938488080906707
335983,2,0,4,0,0.4602282905161428
335983,2,0,5,0,0.43792108377104433
335983,2,0,6,1,0.45949297480388923
335983,2,1,1,0,0.4525308533705715
335983,2,1,2,0,0.4881511531128101
335983,2,1,3,0,0.48756148271071864
335983,2,1,4,0,0.48647024865685395
335983,2,1,5,1,0.4975858702072483
335983,2,1,6,0,0.48628602533951665
335983,2,2,1,0,0.5190878099045545
335983,2,2,2,1,0.5457346582819104
335983,2,2,3,0,0.5423809985898028
335983,2,2,4,1,0.5448509898803643
335983,2,2,5,0,0.5350637168710821
335983,2,2,6,0,0.5115990693400252
335983,2,3,1,0,0.5337666435806119
335983,2,3,2,0,0.5638169988704329
335983,2,3,3,0,0.5585545807436305
335983,2,3,4,0,0.5565925666499939
335983,2,3,5,0,0.5246458156249383
335983,2,3,6,1,0.5246355576704819
335983,2,4,1,0,0.5206506544590599
335983,2,4,2,0,0.551039817989514
335983,2,4,3,0,0.5606554352374578
335983,2,4,4,0,0.5762705207465938
335983,2,4,5,1,0.5393899851249258
335983,2,4,6,1,0.5176374469950858
335983,2,5,1,0,0.5250350315577206
335983,2,5,2,1,0.5543179916196347
335983,2,5,3,0,0.536775701611716
335983,2,5,4,0,0.5816632492887467
335983,2,5,5,0,0.5157067894326071
335983,2,5,6,0,0.00010310924426488355
335983,2,5,7,0,0.5010579670010621
335983,2,5,8,1,0.26535124916327246
335990,1,0,1,0,0.34292879586449154
335990,1,0,2,1,0.3758145906828431
335990,1,0,3,0,0.3938488080906707
335990,1,0,4,0,0.4602282905161428
335990,1,0,5,1,0.43792108377104433
335990,1,0,6,1,0.45949297480388923
335990,1,1,1,0,0.4525308533705715
335990,1,1,2,0,0.4881511531128101
335990,1,1,3,1,0.48756148271071864
335990,1,1,4,0,0.48647024865685395
335990,1,1,5,0,0.4975858702072483
335990,1,1,6,1,0.48628602533951665
335990,1,2,1,0,0.5190878099045545
335990,1,2,2,0,6.71210527059499e-05
335990,1,2,3,0,0.5423809985898028
335990,1,2,4,1,0.5448509898803643
335990,1,2,5,1,0.5350637168710821
335990,1,2,6,0,8.629539099572611e-05
335990,1,3,1,0,0.5337666435806119
335990,1,3,2,0,0.5638169988704329
335990,1,3,3,0,0.5585545807436305
335990,1,3,4,0,0.5565925666499939
335990,1,3,5,0,0.5246458156249383
335990,1,3,6,0,0.5246355576704819
335990,1,4,1,0,0.5206506544590599
335990,1,4,2,1,0.551039817989514
335990,1,4,3,1,0.5606554352374578
335990,1,4,4,0,0.5762705207465938
335990,1,4,5,0,0.5393899851249258
335990,1,4,6,1,0.5176374469950858
335990,1,5,1,0,0.5250350315577206
335990,1,5,2,1,0.5543179916196347
335990,1,5,3,0,0.536775701611716
335990,1,5,4,0,0.5816632492887467
335990,1,5,5,0,0.5157067894326071
335990,1,5,6,1,0.5158472392310883
335990,1,5,7,0,0.5010579670010621
335990,2,0,1,0,0.34292879586449154
335990,2,0,2,0,0.3758145906828431
335990,2,0,3,1,0.3938488080906707
335990,2,0,4,0,0.4602282905161428
335990,2,0,5,0,0.43792108377104433
335990,2,0,6,0,0.45949297480388923
335990,2,1,1,1,0.4525308533705715
335990,2,1,2,0,0.4881511531128101
335990,2,1,3,0,0.48756148271071864
335990,2,1,4,0,0.48647024865685395
335990,2,1,5,0,0.4975858702072483
335990,2,1,6,0,0.48628602533951665
335990,2,2,1,0,0.0001421325131760957
335990,2,2,2,0,0.5457346582819104
335990,2,2,3,0,0.5423809985898028
335990,2,2,4,0,0.5448509898803643
335990,2,2,5,0,0.5350637168710821
335990,2,2,6,1,0.5115990693400252
335990,2,3,1,0,0.5337666435806119
335990,2,3,2,1,0.5638169988704329
335990,2,3,3,1,0.5585545807436305
335990,2,3,4,0,0.5565925666499939
335990,2,3,5,0,0.5246458156249383
335990,2,3,6,0,0.5246355576704819
335990,2,3,7,1,0.5656720274535049
335990,2,4,1,1,0.5206506544590599
335990,2,4,2,1,0.551039817989514
335990,2,4,3,1,0.5606554352374578
335990,2,4,4,0,0.5762705207465938
335990,2,4,5,1,0.5393899851249258
335990,2,4,6,0,0.5176374469950858
335990,2,5,1,1,0.5250350315577206
335990,2,5,2,1,0.5543179916196347
335990,2,5,3,0,0.536775701611716
335990,2,5,4,1,0.5816632492887467
335990,2,5,5,0,0.5157067894326071
335990,2,5,6,0,0.5158472392310883
335995,1,0,1,0,0.34292879586449154
335995,1,0,2,0,0.3758145906828431
335995,1,0,3,0,0.3938488080906707
335995,1,0,4,0,0.4602282905161428
335995,1,0,5,1,0.43792108377104433
335995,1,0,6,0,0.45949297480388923
335995,1,1,1,0,0.4525308533705715
335995,1,1,2,0,0.4881511531128101
335995,1,1,3,0,0.48756148271071864
335995,1,1,4,0,0.48647024865685395
335995,1,1,5,0,8.911846280782056e-05
335995,1,1,6,0,0.48628602533951665
335995,1,1,7,0,0.5312862305625888
335995,1,2,1,0,0.5190878099045545
335995,1,2,2,0,0.5457346582819104
335995,1,2,3,0,6.163767430463305e-05
335995,1,2,4,1,0.5448509898803643
335995,1,2,5,0,0.5350637168710821
335995,1,2,6,0,0.5115990693400252
335995,1,3,1,0,0.5337666435806119
335995,1,3,2,0,0.5638169988704329
335995,1,3,3,1,0.5585545807436305
335995,1,3,4,1,0.5565925666499939
335995,1,3,5,0,0.5246458156249383
335995,1,3,6,0,0.5246355576704819
335995,1,3,7,0,0.5656720274535049
335995,1,4,1,1,0.5206506544590599
335995,1,4,2,0,0.551039817989514
335995,1,4,3,0,0.5606554352374578
335995,1,4,4,0,0.5762705207465938
335995,1,4,5,1,0.5393899851249258
335995,1,4,6,0,0.5176374469950858
335995,1,5,1,0,0.5250350315577206
335995,1,5,2,0,0.5543179916196347
335995,1,5,3,1,0.536775701611716
335995,1,5,4,0,0.5816632492887467
335995,1,5,5,0,0.5157067894326071
335995,1,5,6,0,0.00010310924426488355
335995,2,0,1,0,0.34292879586449154
