match_id,innings,over,b11_actual_final_score,b11_predicted_final_score
335983,1,0,31,24.742903440656814
335983,1,1,31,23.360823407600794
335983,1,2,31,21.83721823967761
335983,1,3,31,24.65607675815567
335983,1,4,31,23.695912870275997
335983,1,5,31,22.090033533700577
335983,1,6,31,21.533589115534873
335983,1,7,31,21.09851300490319
335983,1,8,31,21.093810301034033
335983,1,9,31,20.717752670994727
335983,1,10,31,23.41648402510598
335983,1,11,31,24.860756406873477
335983,1,12,31,24.13986369182852
335983,1,13,31,24.160534053477456
335983,1,14,31,28.835323789714877
335983,1,15,31,28.870797453972806
335983,1,16,31,28.717724391098585
335983,1,17,31,30.357269480702065
335983,1,18,31,30.987444690585555
335983,1,19,31,30.856798819907922
335983,2,0,40,29.15646985930138
335983,2,1,40,28.936383263684927
335983,2,2,40,28.274122164763565
335983,2,3,40,34.31668541029089
335983,2,4,40,38.97358215010772
335983,2,5,40,43.32348208092436
335983,2,6,40,39.19163057487467
335983,2,7,40,38.295272108319296
335983,2,8,40,39.9935469155317
335983,2,9,40,39.85153244117558
335983,2,10,40,40.00911711841723
335983,2,11,40,40.85849032938313
335983,2,12,40,39.65456449832763
335983,2,13,40,38.661595624246914
335983,2,14,40,43.63136827989659
335983,2,15,40,43.98730192410341
335983,2,16,40,43.809629289295174
335983,2,17,40,42.2334306997941
335983,2,18,40,41.90691720867674
335983,2,19,40,40.25026432313413
335990,1,0,38,29.15646985930138
335990,1,1,38,31.249441490702488
335990,1,2,38,27.692767031236837
335990,1,3,38,28.276897466200264
335990,1,4,38,29.207754374156988
335990,1,5,38,29.563636255606873
335990,1,6,38,32.200141279368125
335990,1,7,38,32.102766914025835
335990,1,8,38,32.100913859786296
335990,1,9,38,30.93009483133241
335990,1,10,38,33.57890489875736
335990,1,11,38,38.649829095132084
335990,1,12,38,36.62425848976322
335990,1,13,38,35.015648661118924
335990,1,14,38,41.61472371456485
335990,1,15,38,40.34499122881852
335990,1,16,38,39.66622239751491
335990,1,17,38,37.36982016104201
335990,1,18,38,39.94013105946384
335990,1,19,38,37.7288987557995
335990,2,0,39,24.742903440656814
335990,2,1,39,23.360823407600794
335990,2,2,39,26.404017028966788
335990,2,3,39,29.883326881934533
335990,2,4,39,28.94336605969596
335990,2,5,39,28.92945647520202
335990,2,6,39,27.456423739771072
335990,2,7,39,29.996034311037644
335990,2,8,39,28.70074013748971
335990,2,9,39,27.564592884228688
335990,2,10,39,27.233098182048774
335990,2,11,39,25.774626565217428
