match_id,innings,over,ball_in_over,bowler,optimization_score
335996,2,15,6,P Amarnath,-0.9333333333333329
335997,1,5,6,DJ Bravo,-3.6
335997,1,8,6,CRD Fernando,3.075
335997,1,12,6,SM Pollock,-3.0041666666666664
335997,1,15,6,ST Jayasuriya,-10.21304347826087
335997,2,5,6,I Sharma,0.38333333333333297
335997,2,8,6,Mohammad Hafeez,9.440000000000001
335997,2,12,6,SC Ganguly,3.0666666666666664
335997,2,15,6,LR Shukla,5.116666666666667
335998,1,5,6,P Kumar,0.5833333333333333
335998,1,8,6,JH Kallis,0.30000000000000004
335998,1,12,6,Z Khan,5.177777777777778
335998,1,15,6,P Kumar,1.6055555555555556
335998,2,5,6,VY Mahesh,2.4833333333333334
335998,2,8,6,DL Vettori,1.1666666666666667
335998,2,12,6,Mohammad Asif,3.8888888888888884
335998,2,15,6,GD McGrath,-7.654166666666667
335999,1,5,6,VRV Singh,5.066666666666667
335999,1,8,6,PP Chawla,-3.1333333333333333
335999,1,12,6,PP Chawla,-6.305555555555556
335999,1,15,6,Gagandeep Singh,-0.8333333333333335
335999,2,5,6,SB Bangar,-2.2
335999,2,8,6,SB Bangar,0.4333333333333334
335999,2,12,6,Shahid Afridi,4.144444444444445
335999,2,15,6,RP Singh,3.541176470588235
336000,1,5,6,Umar Gul,-0.1499999999999999
336000,1,8,6,AB Agarkar,2.4166666666666665
336000,1,12,6,AB Dinda,2.4043478260869566
336000,1,15,6,Umar Gul,-2.5058823529411764
336000,2,5,6,SK Trivedi,2.98
336000,2,8,6,MM Patel,0.07499999999999996
336000,2,12,6,YK Pathan,2.65
336000,2,15,6,MM Patel,2.5541666666666667
336001,1,5,6,VY Mahesh,2.7083333333333335
336001,1,8,6,V Sehwag,-1.9166666666666667
336001,1,12,6,GD McGrath,0.7111111111111112
336001,1,15,6,VY Mahesh,-0.22083333333333305
336001,2,5,6,JA Morkel,3.6666666666666665
336001,2,8,6,JA Morkel,3.55
336001,2,12,6,M Muralitharan,2.111111111111111
336001,2,15,6,M Ntini,2.3458333333333337
336002,1,5,6,DW Steyn,1.588888888888889
336002,1,8,6,B Akhil,4.616666666666667
336002,1,12,6,R Vinay Kumar,-0.625
336002,1,15,6,B Akhil,5.794444444444445
336002,2,5,6,DP Vijaykumar,1.5333333333333334
336002,2,8,6,SB Bangar,-1.9388888888888887
336002,2,12,6,WPUJC Vaas,0.06111111111111134
336002,2,15,6,SB Bangar,-2.4583333333333335
336003,1,5,6,AB Dinda,-0.9454545454545453
336003,1,8,6,Mohammad Hafeez,2.1166666666666667
336003,1,12,6,Umar Gul,-4.55
336003,1,15,6,DJ Hussey,-2.5499999999999994
336003,2,5,6,IK Pathan,-5.588235294117648
336003,2,8,6,Gagandeep Singh,-0.1499999999999999
336003,2,12,6,Gagandeep Singh,3.2500000000000004
336003,2,15,6,JR Hopes,2.9916666666666667
336004,1,5,6,VY Mahesh,1.75
336004,1,8,6,PJ Sangwan,0.6000000000000001
336004,1,12,6,PJ Sangwan,-1.3041666666666665
336004,1,15,6,Shoaib Malik,-0.9666666666666666
336004,2,5,6,DJ Bravo,2.9333333333333336
336004,2,8,6,DS Kulkarni,0.6583333333333334
336004,2,12,6,DJ Thornely,0.4583333333333333
336004,2,15,6,RR Raje,2.341666666666667
336005,1,5,6,SR Watson,-1.3249999999999997
336005,1,8,6,MM Patel,0.41111111111111115
336005,1,12,6,YK Pathan,0.6916666666666665
336005,1,15,6,SR Watson,-1.4666666666666666
336005,2,5,6,MS Gony,2.9722222222222223
336005,2,8,6,SK Raina,3.4333333333333336
336005,2,12,6,S Vidyut,1.7000000000000002
336006,1,5,6,Gagandeep Singh,1.9833333333333332
336006,1,8,6,VRV Singh,1.1416666666666668
336006,1,12,6,IK Pathan,-4.8277777777777775
336006,1,15,6,PP Chawla,-2.6611111111111105
336006,2,5,6,JH Kallis,3.4333333333333336
336006,2,8,6,P Kumar,0.4333333333333334
336006,2,12,6,P Kumar,-3.9000000000000004
336006,2,15,6,DW Steyn,0.008333333333333373
336007,1,5,6,SB Styris,-2.6799999999999997
336007,1,8,6,Shahid Afridi,1.1916666666666669
336007,1,12,6,PP Ojha,0.30000000000000004
336007,1,15,6,Shahid Afridi,1.1055555555555554
336007,2,5,6,M Ntini,4.488888888888889
336007,2,8,6,M Muralitharan,1.5333333333333334
336007,2,12,6,M Muralitharan,2.4666666666666663
336007,2,15,6,JA Morkel,-0.8666666666666665
336008,1,5,6,DS Kulkarni,7.65
336008,1,8,6,DJ Bravo,-0.9181818181818178
336008,1,12,6,RR Raje,-0.7090909090909088
336008,1,15,6,A Nehra,-7.3277777777777775
336008,2,5,6,MM Patel,1.8722222222222222
336008,2,8,6,SK Trivedi,1.366666666666667
336008,2,12,6,SK Trivedi,2.2833333333333337
336009,1,5,6,JA Morkel,0.8444444444444443
336009,1,8,6,M Muralitharan,2.7083333333333335
336009,1,12,6,M Muralitharan,2.3312500000000003
336009,1,15,6,M Muralitharan,1.8541666666666667
336009,2,5,6,VY Mahesh,4.854545454545455
336009,2,8,6,PJ Sangwan,1.477777777777778
336009,2,12,6,VY Mahesh,4.5055555555555555
336009,2,15,6,Mohammad Asif,0.2833333333333335
336010,1,5,6,R Vinay Kumar,1.25
