match_id,innings,over,ball_in_over,bowler,w9_actual,w9_predicted_prob
335983,1,15,6,IK Pathan,0,0.858604790658613
335989,1,15,6,DJ Bravo,1,0.8976020671539063
335989,2,15,6,M Muralitharan,1,0.615615144484491
336000,1,15,6,Umar Gul,1,0.07790753127492898
336003,2,15,6,JR Hopes,0,0.6989408926997822
336015,1,15,6,SK Trivedi,0,0.004139030765270844
336018,1,15,6,DJ Bravo,0,0.34524953501130073
336028,1,15,6,CRD Fernando,0,0.3445215864129115
336036,1,15,6,SK Warne,1,0.5665791491389383
336036,2,15,6,CRD Fernando,0,0.1230681735444126
336039,1,15,6,M Muralitharan,1,0.038042454891414015
336040,1,15,6,Sohail Tanvir,0,0.38074638535426686
336040,2,15,6,L Balaji,1,0.8694537624482646
392188,1,15,6,KP Pietersen,0,0.0565134354030366
392188,2,15,6,SB Styris,1,0.5119897171607983
392196,1,15,6,Shoaib Ahmed,0,0.12882070913054028
392201,1,15,6,A Nehra,1,0.41715934252346004
392201,2,15,6,FH Edwards,0,0.5036288530183815
392210,2,15,6,SK Warne,0,0.44499897995686954
392215,1,15,6,DP Nannes,0,0.1311946636249055
392217,1,15,6,SB Jakati,0,0.13109089546123825
392225,1,15,6,SL Malinga,0,0.4329809120237685
392225,2,15,6,SK Warne,0,0.24831245457222878
392238,1,15,6,RE van der Merwe,1,0.25952162357485226
392238,2,15,6,M Muralitharan,0,0.014126284040343487
419113,2,15,6,M Muralitharan,1,0.03933487430216867
419115,1,15,6,R Vinay Kumar,1,0.43406107844090464
419122,1,15,6,Z Khan,0,0.41099101212828
419126,1,15,6,YK Pathan,1,0.014499821894744252
419129,1,15,6,JA Morkel,1,0.3960125973007725
419129,2,15,6,YK Pathan,1,0.663070922831786
419130,1,15,6,A Symonds,0,0.4553794807906481
419130,2,15,6,SL Malinga,1,0.645091605418564
419133,2,15,6,P Kumar,1,0.866744754257223
419137,2,15,6,DE Bollinger,0,0.011532912089042406
419139,1,15,6,J Theron,0,0.4489685712327542
419160,1,15,6,A Nehra,1,0.2904969939400126
419160,2,15,6,Harmeet Singh,1,0.49143988953095824
501206,2,15,6,SB Jakati,0,0.955084191316878
501209,1,15,6,L Balaji,0,0.2527063630764684
501216,2,15,6,A Mishra,0,0.08078603265305187
